repository,issue_number,issue_url,state,decision,decision_provenance
infiniflow/ragflow,193,https://github.com/infiniflow/ragflow/issues/193,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,202,https://github.com/infiniflow/ragflow/issues/202,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,207,https://github.com/infiniflow/ragflow/issues/207,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,208,https://github.com/infiniflow/ragflow/issues/208,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,209,https://github.com/infiniflow/ragflow/issues/209,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,217,https://github.com/infiniflow/ragflow/issues/217,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,220,https://github.com/infiniflow/ragflow/issues/220,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,231,https://github.com/infiniflow/ragflow/issues/231,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,232,https://github.com/infiniflow/ragflow/issues/232,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,249,https://github.com/infiniflow/ragflow/issues/249,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,252,https://github.com/infiniflow/ragflow/issues/252,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,256,https://github.com/infiniflow/ragflow/issues/256,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,265,https://github.com/infiniflow/ragflow/issues/265,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,279,https://github.com/infiniflow/ragflow/issues/279,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,281,https://github.com/infiniflow/ragflow/issues/281,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,284,https://github.com/infiniflow/ragflow/issues/284,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,295,https://github.com/infiniflow/ragflow/issues/295,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,323,https://github.com/infiniflow/ragflow/issues/323,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,325,https://github.com/infiniflow/ragflow/issues/325,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,331,https://github.com/infiniflow/ragflow/issues/331,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,341,https://github.com/infiniflow/ragflow/issues/341,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,346,https://github.com/infiniflow/ragflow/issues/346,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,366,https://github.com/infiniflow/ragflow/issues/366,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,384,https://github.com/infiniflow/ragflow/issues/384,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,386,https://github.com/infiniflow/ragflow/issues/386,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,401,https://github.com/infiniflow/ragflow/issues/401,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,402,https://github.com/infiniflow/ragflow/issues/402,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,405,https://github.com/infiniflow/ragflow/issues/405,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,423,https://github.com/infiniflow/ragflow/issues/423,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,427,https://github.com/infiniflow/ragflow/issues/427,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,432,https://github.com/infiniflow/ragflow/issues/432,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,436,https://github.com/infiniflow/ragflow/issues/436,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,437,https://github.com/infiniflow/ragflow/issues/437,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,444,https://github.com/infiniflow/ragflow/issues/444,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,446,https://github.com/infiniflow/ragflow/issues/446,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,451,https://github.com/infiniflow/ragflow/issues/451,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,474,https://github.com/infiniflow/ragflow/issues/474,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,476,https://github.com/infiniflow/ragflow/issues/476,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,477,https://github.com/infiniflow/ragflow/issues/477,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,495,https://github.com/infiniflow/ragflow/issues/495,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,502,https://github.com/infiniflow/ragflow/issues/502,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,509,https://github.com/infiniflow/ragflow/issues/509,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,513,https://github.com/infiniflow/ragflow/issues/513,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,514,https://github.com/infiniflow/ragflow/issues/514,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,517,https://github.com/infiniflow/ragflow/issues/517,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,546,https://github.com/infiniflow/ragflow/issues/546,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,563,https://github.com/infiniflow/ragflow/issues/563,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,580,https://github.com/infiniflow/ragflow/issues/580,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,585,https://github.com/infiniflow/ragflow/issues/585,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,587,https://github.com/infiniflow/ragflow/issues/587,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,591,https://github.com/infiniflow/ragflow/issues/591,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,610,https://github.com/infiniflow/ragflow/issues/610,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,612,https://github.com/infiniflow/ragflow/issues/612,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,627,https://github.com/infiniflow/ragflow/issues/627,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,651,https://github.com/infiniflow/ragflow/issues/651,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,655,https://github.com/infiniflow/ragflow/issues/655,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,661,https://github.com/infiniflow/ragflow/issues/661,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
