System,Issue URL,Symptom Stage,Root Cause Stage,Root Cause Category,Stage Gap,Fix Cost
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1699,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,18.63 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1697,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,1607.03 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1400,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,1283.39 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1340,S3: Retrieval,S0: Initialization,RC-B: User Misconfigurations,3,1561.69 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1313,S3: Retrieval,S0: Initialization,RC-A: Configuration Bugs,3,26.86 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/948,S3: Retrieval,S0: Initialization,RC-A: Configuration Bugs,3,4071.39 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/945,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,1107.59 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/938,S3: Retrieval,S0: Initialization,RC-A: Configuration Bugs,3,220.09 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/932,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,13.39 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/931,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,5621.36 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/930,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,52.29 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/884,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,423.55 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/833,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,2759.89 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/800,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,49.3 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/745,S5: Generation,S3: Retrieval,RC-B: User Misconfigurations,2,10043.44 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/562,S1: Indexing,S0: Initialization,RC-A: Configuration Bugs,1,149.78 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/344,S3: Retrieval,S1: Indexing,RC-B: User Misconfigurations,2,148.87 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/276,S3: Retrieval,S0: Initialization,RC-A: Configuration Bugs,3,100.37 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/195,S5: Generation,S3: Retrieval,RC-B: User Misconfigurations,2,2.17 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/179,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,1.1 hours
arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/55,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,146.97 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2849,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,50.06 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2846,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,73.51 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2841,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,66.89 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2809,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,21.89 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2777,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,9.57 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2766,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,260.64 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2764,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,48.24 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2751,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,938.79 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2741,S5: Generation,S3: Retrieval,RC-A: Configuration Bugs,2,1313.91 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2728,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,2.79 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2718,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,124.7 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2714,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,46.4 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2710,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,39.97 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2697,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,193.46 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2694,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,21.3 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2689,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,170.96 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2637,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,97.44 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2636,S4: Post-Retrieval Processing,S0: Initialization,RC-A: Configuration Bugs,4,47.09 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2607,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,56.89 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2595,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,169.15 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2576,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,184.1 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2562,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,41.93 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2554,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,20.84 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2495,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,19.66 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2475,S5: Generation,S3: Retrieval,RC-A: Configuration Bugs,2,6.36 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2469,S5: Generation,S3: Retrieval,RC-A: Configuration Bugs,2,324.29 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2468,S3: Retrieval,S1: Indexing,RC-A: Configuration Bugs,2,71.95 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2458,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,93.93 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2444,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,56.85 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2439,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,13.72 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2437,S0: Initialization,S1: Indexing,RC-A: Configuration Bugs,1,76.84 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2430,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,0.21 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2422,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,110.09 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2418,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,141.71 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2417,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,219.32 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2415,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,70.54 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2400,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,22.18 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2399,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,209.52 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2391,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,6.03 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2353,S5: Generation,S5: Generation,RC-B: User Misconfigurations,0,0.7 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2344,S4: Post-Retrieval Processing,S4: Post-Retrieval Processing,RC-A: Configuration Bugs,0,48.84 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2321,S1: Indexing,S1: Indexing,RC-A: Configuration Bugs,0,4150.73 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2315,S5: Generation,S0: Initialization,RC-B: User Misconfigurations,5,22.88 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2288,S5: Generation,S5: Generation,RC-A: Configuration Bugs,0,24.54 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2287,S0: Initialization,S0: Initialization,RC-A: Configuration Bugs,0,23.71 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2284,S5: Generation,S0: Initialization,RC-A: Configuration Bugs,5,53.01 hours
eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2261,S0: Initialization,S0: Initialization,RC-B: User Misconfigurations,0,73.88 hours
